學號,姓名,性別,電郵,國文,英文,數學,歷史,地理
s1110001,李彥文,男,1110001@happy.edu.tw,90,85,98,88,96
s1110002,吳佳樺,女,1110002@happy.edu.tw,75,,86,82,89
s1110003,劉豪春,男,1110003happy.edu.tw,83,88,74,75,83
s1110004,趙人豪,男,1110004@happy.edu.tw,,85,80,88,82
s1110005,杜清芷,女,1110005@happy.edu.tw,51,66,51,77,
s1110006,吳雅婷,女,1110006@happy,94,62,90,62,85
s1110007,周常明,男,1110008@happy.edu.tw,74,84,94,82,99
s1110007,周常明,男,1110008@happy.edu.tw,74,84,94,82,99
s1110009,張呈康,男,1110007@happy.edu.tw,-1,-1,-1,-1,-1
s1110010,林芳仲,男,1110010@happy.edu.tw,85,,88,80,82
s1110011,林喬羽,男,1110011@happy.edu.tw,45,86,89,97,68
s1110012,張家賢,男,1110012@happy.edu.tw,89,71,73,,90
s1110013,許淑芬,女,1110013@happy.edu.tw,47,83,87,71,56
s1110014,林美萱,女,1110014@happy.edu.tw,-1,96,88,89,99
s1110015,楊惠玟,女,1110015@happy.edu.tw,77,85,93,98,80
s1110016,林瓊文,女,1110016@happy.edu.tw,91,88,60,54,46
s1110017,連旺美,女,1110017@happy.edu.tw,92,86,83,93,98
s1110018,李岳玟,女,1110018@happy.edu.tw,65,65,59,46,93
s1110019,李怡璇,女,1110019@happy.edu.tw,68,-1,45,58,91
s1110020,陳賢民,男,1110020@happy.edu.tw,90,97,88,98,86
s1110021,林昆輝,男,1110021@happy.edu.tw,69,66,,95,84
s1110022,劉峻豪,男,1110022@happy.edu.tw,53,50,51,95,70
s1110023,陳信平,男,1110023@happy.edu.tw,70,75,97,89,83
s1110024,吳堯嬌,女,1110024@happy.edu.tw,,55,72,52,52
s1110025,呂芳瑜,女,1110025@happy.edu.tw,84,67,53,55,96
s1110026,張祐善,男,1110026@happy.edu.tw,87,93,99,97,98
s1110027,周志凡,男,1110027@happy.edu.tw,78,89,92,52,-1
s1110028,李行財,男,1110028@happy.edu.tw,82,87,79,88,79
s1110029,方啟盈,男,1110029@happy.edu.tw,64,88,63,99,63
s1110030,何嘉祥,男,1110030@happy.edu.tw,84,84,93,78,85
